,Unnamed: 0,full_name,speciality,level,area,salary,employer,schedule,remote,skills,date,python,sql,pytorch,apache,git,java,eng
14,14,Главный специалист (Data Scientist),data scientist,unknown,Москва,1,other,1,0,"{'requirement': 'Опыт работы в Linux. Опыт работы на проектах, связанных с речевой <highlighttext>аналитикой</highlighttext>. Опыт SQL / Hibernate / Mongo DB/ Berkeley DB. ', 'responsibility': 'Развитие, оптимизация и поддержка существующих детекторов видеоаналитики (анализ движения и поведения объектов, обработка текстовой информации). Проектирование и реализация детекторов для...'}",2022-12-07,0,1,1,0,0,0,Moscow
15,15,Главный эксперт по анализу данных (data analyst/data scientist/аналитик данных),data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Опыт работы в области <highlighttext>аналитики</highlighttext> данных. Владение стеком технологий: SQL, библиотеки Python для анализа данных (Pandas, Scikit-learn, Numpy и...', 'responsibility': 'Сбор, обработка, изучение и интерпретация данных для поиска закономерностей и аномалий. Подготовка данных к моделированию, построение предиктивных моделей, анализ и...'}",2022-11-22,1,1,1,0,0,0,Moscow
16,16,Дата аналитик,data analyst,unknown,Москва,0,СБЕР,1,0,"{'requirement': 'Знание SQL на уровне написания сложных запросов. Работа в сфере обработки и анализа данных не менее 1 года. ', 'responsibility': 'Разработка методологии расчета бизнес-показателей, прототипов регулярной отчетности и требований на автоматизацию. Взаимодействие со смежными функциями (<highlighttext>Data</highlighttext> Engineers, <highlighttext>Data</highlighttext> <highlighttext>Scientists</highlighttext>...'}",2022-11-28,0,1,1,0,0,0,Moscow
17,17,Инженер данных,data engineer,unknown,Санкт-Петербург,0,other,1,0,"{'requirement': 'Java 8+, Scala или Python на хорошем уровне. Знание алгоритмов и структур данных. Знание SQL и принципов работы классических...', 'responsibility': 'Проектирование и построение <highlighttext>Data</highlighttext> warehouse компании. Подготовка витрин данных для отчетности, бизнеса и дата <highlighttext>аналитики</highlighttext>. Организация пайплайнов сбора данных от...'}",2022-12-13,1,1,1,0,0,1,Saint Petersburg
18,18,Инженер данных,data engineer,unknown,Новосибирск,0,other,1,0,"{'requirement': 'Java 8+, Scala или Python на хорошем уровне. Знание алгоритмов и структур данных. Знание SQL и принципов работы классических...', 'responsibility': 'Проектирование и построение <highlighttext>Data</highlighttext> warehouse компании. Подготовка витрин данных для отчетности, бизнеса и дата <highlighttext>аналитики</highlighttext>. Организация пайплайнов сбора данных от...'}",2022-12-13,1,1,1,0,0,1,Novosibirsk
19,19,Инженер данных,data engineer,unknown,Томск,0,other,1,0,"{'requirement': 'Java 8+, Scala или Python на хорошем уровне. Знание алгоритмов и структур данных. Знание SQL и принципов работы классических...', 'responsibility': 'Проектирование и построение <highlighttext>Data</highlighttext> warehouse компании. Подготовка витрин данных для отчетности, бизнеса и дата <highlighttext>аналитики</highlighttext>. Организация пайплайнов сбора данных от...'}",2022-12-13,1,1,1,0,0,1,Tomsk
20,20,Инженер данных (Data Office),data engineer,unknown,Москва,0,other,1,0,"{'requirement': 'Знание хотя бы 1 языка программирования (желательно что-то из Scala, Java, Python, C++/C#) на хорошем уровне: опыт разработки...', 'responsibility': 'Развитием практик DevSecOps, автомтизацией миграций и разработческих пайплайнов. Взаимодействием с <highlighttext>аналитиками</highlighttext> данных (<highlighttext>data</highlighttext> <highlighttext>scientists</highlighttext>), производственными и функциональными экспертами для определения...'}",2022-12-01,1,0,1,0,0,1,Moscow
21,21,Руководитель направления риск моделирования (Data Scientist),data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Высшее математическое, экономико-математическое, техническое образование. Опыт разработки / валидации моделей количественной оценки риска не менее года в кредитной организации или...', 'responsibility': 'Подготовка данных для разработки моделей количественной оценки риска. Организация получения данных из внутренних и внешних источников. Портфельная <highlighttext>аналитика</highlighttext>.'}",2022-11-25,0,0,1,0,0,0,Moscow
22,22,Руководитель отдела аналитики и Data Science,data scientist,unknown,Санкт-Петербург,0,other,0,1,"{'requirement': 'Владение SQL и Python. Опыт работы <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext>. Опыт руководства командой. Отличная математическая подготовка. Хорошие коммуникативные навыки :).', 'responsibility': 'Развитие DMP, сегментирование пользователей. Развитие моделей категоризации текстов. <highlighttext>Аналитика</highlighttext> и визуализация данных для внутренних заказчиков. Постановка задач команде разработки, написание...'}",2022-12-15,1,1,1,0,0,0,Saint Petersburg
23,23,Скоринг-аналитик / Data scientist / Аналитик (скоринг),data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Высшее/неполное высшее образование. Python – pandas, numpy, sklearn, matplotlib/seaborn. SQL базовый – умеешь писать подзапросы, простые join-ы. ', 'responsibility': 'Заниматься разработкой, валидацией и актуализацией скоринговых моделей для целей принятия кредитных решений. Написание SQL запросов, выгрузка и подготовка данных. '}",2022-12-19,1,1,1,0,0,0,Moscow
