,vacancy_name,company_name,city,date,workplace_type,area,level,speciality,schedule,salary,python,sql,apache,java
221,Data Scientist / Senior Lead Researcher in Mobility,Eurecat - Centro Tecnológico de Catalunya,"Барселона, Каталония, Испания",1 месяц назад,Работа в офисе,Испания,team lead,data scientist,1,0,1,0,0,0
222,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
223,Senior Data Scientist / Data Analyst,Luxoft,Польша,4 дня назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
224,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
225,Statistician / Data Scientist,DSM,"Делфт, Южная Голландия, Голландия",1 неделю назад,Работа в офисе,Голландия,senior,data scientist,1,0,1,1,0,0
226,Sales Engineer - Data Science & Analytics (w/m/x),IBM,Германия,2 недели назад,Работа в офисе,Германия,middle,data engineer,1,0,1,0,0,1
227,Sales Engineer - Data Science & Analytics (w/m/x),IBM,Германия,2 недели назад,Работа в офисе,Германия,middle,data engineer,1,0,1,0,0,1
228,Sales Engineer - Data Science & Analytics (w/m/x),IBM,Германия,2 недели назад,Работа в офисе,Германия,middle,data engineer,1,0,1,0,0,1
229,Data Engineer JAVA/GCP (IT) / Freelance,Free-Work (ex Freelance-info Carriere-info),"О-де-Сен, Иль-де-Франс, Франция",3 недели назад,Удаленная работа,Франция,middle,data engineer,1,0,1,0,0,1
230,Senior Data Scientist / Data Analyst,Luxoft,Польша,4 дня назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
231,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Работа в офисе,Польша,senior,data scientist,1,0,1,1,0,0
232,Senior Data Scientist / Data Analyst,Luxoft,Польша,4 дня назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
233,Senior Data Scientist / Data Analyst,Luxoft,Польша,4 дня назад,Работа в офисе,Польша,senior,data scientist,1,0,1,1,0,0
234,Data Scientist Engineer,Fetcherr,Польша,1 неделю назад,Гибридный формат работы,Польша,middle,data engineer,1,0,1,0,0,0
235,Stage - Data Analyst Scientist - Bac +4/5 (dépt 38 - Grenoble) - F/H,Schneider Electric,"Гренобль, Овернь-Рона-Альпы, Франция",1 месяц назад,Работа в офисе,Франция,middle,data scientist,1,0,1,1,0,0
236,Senior Data Scientist / Data Analyst,Luxoft,Польша,4 дня назад,Работа в офисе,Польша,senior,data scientist,1,0,1,1,0,0
237,Sales Engineer - Data Science & Analytics (w/m/x),IBM,"Гамбург, Гамбург, Германия",2 недели назад,Работа в офисе,Германия,middle,data engineer,1,0,1,0,0,1
238,Intern Data Scientist / Software Engineer - Spanish Speaking (End-of-studies),Shift Technology,Испания,1 неделю назад,Работа в офисе,Испания,middle,data engineer,1,0,0,0,0,0
239,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Гибридный формат работы,Польша,senior,data scientist,1,0,1,1,0,0
240,Cloud Architect / Cloud Data Engineer / DevOps Engineer / Data Scientist (m/w/d),saracus consulting,"Münster, Баден-Вюртемберг, Германия",6 дней назад,Гибридный формат работы,Германия,middle,data engineer,1,0,1,1,0,1
241,Cloud Architect / Cloud Data Engineer / DevOps Engineer / Data Scientist (m/w/d),saracus consulting,"Мюнстер, Северный Рейн-Вестфалия, Германия",5 дней назад,Гибридный формат работы,Германия,middle,data engineer,1,0,1,1,0,1
242,Flutter Engineer / New Data Solutions (m/w/d),msg,Германия,1 месяц назад,Гибридный формат работы,Германия,middle,data engineer,1,0,0,0,0,0
243,Senior Data Scientist / Data Analyst,Luxoft,Польша,3 дня назад,Работа в офисе,Польша,senior,data scientist,1,0,1,1,0,0
244,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Работа в офисе,Польша,senior,data scientist,1,0,1,1,0,0
245,Flutter Engineer / New Data Solutions (m/w/d),msg,"Кёльн, Северный Рейн-Вестфалия, Германия",1 месяц назад,Гибридный формат работы,Германия,middle,data engineer,1,0,0,0,0,0
246,Senior Data Scientist / Data Analyst,Luxoft,"Мазовецкое воеводство, Польша",5 дней назад,Работа в офисе,Польша,senior,data scientist,1,0,1,1,0,0
247,Experte für Qlik View / Qlik Sense (M/W/D),Michael Page,"Ганновер, Нижняя Саксония, Германия",3 недели назад,Работа в офисе,Германия,middle,unknown,1,0,0,0,0,0
248,Data Scientist (Biostatistician),SOPHiA GENETICS,"Бордо, Нувель-Акитэн, Франция",4 дня назад,Работа в офисе,Франция,middle,data scientist,1,0,1,0,0,0
249,Senior Data Scientist / Senior Analytics Expert (m/w/d),DATALOGUE GmbH,"Гамбург, Гамбург, Германия",3 недели назад,Работа в офисе,Германия,senior,data scientist,1,0,1,1,0,0
250,"Data Science Lead (Warszawa, PL, 00-841)",ISS A/S,Польша,1 месяц назад,Работа в офисе,Польша,team lead,data scientist,1,0,1,0,0,0
251,Principal Data Scientist Engineer,Sabre Corporation,"Краков, Малое польское воеводство, Польша",1 неделю назад,Удаленная работа,Польша,middle,data engineer,1,0,1,1,0,1
252,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Гибридный формат работы,Польша,senior,data scientist,1,0,1,1,0,0
253,Data Scientist - Quantitative Investment Research (m/f/d),Othoz GmbH,Германия,1 месяц назад,Работа в офисе,Германия,middle,data scientist,1,0,1,0,0,0
254,Senior Data Scientist / Data Analyst,Luxoft,Польша,4 дня назад,Гибридный формат работы,Польша,senior,data scientist,1,0,1,1,0,0
255,Flutter Engineer / New Data Solutions (m/w/d),msg,"Карлсруе, Баден-Вюртемберг, Германия",1 месяц назад,Гибридный формат работы,Германия,middle,data engineer,1,0,0,0,0,0
256,Ingénieur Data Scientist Expérimenté (H/F),Thales,"Sophia Antipolis, Прованс-Альпы-Лазурный Берег, Франция",2 недели назад,Гибридный формат работы,Франция,middle,data scientist,1,0,1,0,0,1
257,Business Intelligence Analyst / Data Scientist (m/f/d),ZETA,"Либох, Штирия, Австрия",2 месяца назад,Работа в офисе,Австрия,middle,data scientist,1,0,1,1,0,0
258,Software Engineer (Machine Learning OR Data Science),Equinix,Польша,2 недели назад,Работа в офисе,Польша,junior,data engineer,1,0,1,1,1,1
259,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Гибридный формат работы,Польша,senior,data scientist,1,0,1,1,0,0
260,Senior Data Scientist / Data Analyst,Luxoft Poland,Польша,5 дней назад,Работа в офисе,Польша,senior,data scientist,1,0,1,1,0,0
261,Actuaire/Data Scientist Analytics H/F,Diot-Siaci,Франция,2 недели назад,Гибридный формат работы,Франция,middle,data scientist,1,0,1,0,0,0
262,Regular Full Stack + JavaScript Data Services Developer,Luxoft,Польша,3 дня назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
263,Data Scientist & Machine Learning Engineer,Recruit Partner Nordic AB,"Гетеборг, Лен Вестра-Гёталанд, Швеция",3 недели назад,Работа в офисе,Швеция,middle,data engineer,1,0,1,1,0,0
264,Stage - Ingénieur(e) Informatique – Data Scientist/ML Engineer H/F :​ Algorithme de reconnaissance de mouvements,Expleo Group,"Тулуза, Окситания, Франция",1 месяц назад,Работа в офисе,Франция,junior,data engineer,1,0,1,0,0,0
265,"Full Stack + JavaScript Data Services Developer, Remote Poland",Luxoft,Польша,4 дня назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
266,Data Scientist/ AI Developer,Incelligent,"Nea Smyrni, Аттика, Греция",1 месяц назад,Работа в офисе,Греция,middle,data scientist,1,0,1,1,0,1
267,Rust Developer - R&D Engineer - Algorithms & Data-processing / DB Internals,Pathway,Франция,19 часов назад,Удаленная работа,Франция,middle,data engineer,1,0,1,1,0,0
268,Sales Engineer - Data Science & Analytics (w/m/x),IBM,"Ehningen, Баден-Вюртемберг, Германия",2 недели назад,Работа в офисе,Германия,middle,data engineer,1,0,1,0,0,1
269,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Работа в офисе,Польша,senior,data scientist,1,0,1,1,0,0
270,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Гибридный формат работы,Польша,senior,data scientist,1,0,1,1,0,0
271,"Engineer, Machine Learning Data",Outrider,Германия,1 неделю назад,Удаленная работа,Германия,middle,data engineer,1,0,1,1,0,0
272,Senior Data Scientist / Data Analyst,Luxoft,Польша,4 дня назад,Гибридный формат работы,Польша,senior,data scientist,1,0,1,1,0,0
273,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Гибридный формат работы,Польша,senior,data scientist,1,0,1,1,0,0
274,Flutter Engineer / New Data Solutions (m/w/d),msg,"Штутгарт, Баден-Вюртемберг, Германия",1 месяц назад,Гибридный формат работы,Германия,middle,data engineer,1,0,0,0,0,0
275,"Full Stack + JavaScript Data Services Developer, Remote Poland",Luxoft,Польша,1 неделю назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
276,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Работа в офисе,Польша,senior,data scientist,1,0,1,1,0,0
277,Full Stack Developer (m/f/d) - Core Data Engineering | Dresden,Solactive AG,"Дрезден, Саксония, Германия",3 часа назад,Работа в офисе,Германия,middle,data engineer,1,0,1,0,0,1
278,Data Analyst / Scientist (m/w/d),Dr. Wolff Group,"Белефельд, Северный Рейн-Вестфалия, Германия",1 день назад,Работа в офисе,Германия,junior,data scientist,1,0,1,1,0,0
279,Data Engineer - Développeur Python/ Spark (IT) / Freelance,Free-Work (ex Freelance-info Carriere-info),"Монтрей, Центр-Долина Луары, Франция",2 недели назад,Работа в офисе,Франция,middle,data engineer,1,0,1,1,0,0
280,Remote Machine Learning Engineer - Head of ML/Data Jobs,Turing,Румыния,1 месяц назад,Удаленная работа,Румыния,middle,data engineer,1,0,1,0,0,1
281,Rust Developer - R&D Engineer - Algorithms & Data Processing / DB Internals,Pathway,"Вроцлав, Нижняя Силезия, Польша",19 часов назад,Удаленная работа,Польша,middle,data engineer,1,0,1,1,0,0
282,"Middle Full Stack + JavaScript Data Services Developer, Remote Poland",Luxoft,Польша,1 неделю назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
283,Data Science Internship,Cerved Group SpA,"Турин, Пьемонт, Италия",2 недели назад,Гибридный формат работы,Италия,middle,data scientist,1,0,0,0,0,0
284,"Engineer, Machine Learning Data",,Германия,1 неделю назад,Удаленная работа,Германия,middle,data engineer,1,0,1,1,0,0
285,MANUFACTURING COMPUTER VISION & DATA SCIENCE ENGINEER,Safran,"Льеж, Валлония, Бельгия",1 день назад,Работа в офисе,Бельгия,middle,unknown,1,0,1,1,0,1
286,Python/Data Modelling Developer,Luxoft Poland,Польша,23 часа назад,Удаленная работа,Польша,middle,unknown,1,0,1,0,0,0
287,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,3 дня назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
288,Data Science Engineer* Improving Wind Turbine Reliability,Fraunhofer-Institut für Windenergiesysteme,"Ганновер, Нижняя Саксония, Германия",5 дней назад,Гибридный формат работы,Германия,junior,data engineer,1,0,1,0,0,0
289,Full Stack + JavaScript Data Services Developer,Luxoft Poland,Польша,3 дня назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
290,Junior Software Engineer - Streaming Analytics Platforms,Nasdaq,"Стокгольм, Лен Стокгольм, Швеция",2 дня назад,Гибридный формат работы,Швеция,junior,data engineer,1,0,0,0,0,1
291,Data Analyst/Data Scientist (m/w/d),DL Personal GmbH,Германия,2 недели назад,Работа в офисе,Германия,middle,data scientist,1,0,0,0,0,0
292,Cofounder of a climatech startup - Developer/Data Scientist,Carbon13,Германия,1 неделю назад,Удаленная работа,Германия,middle,data scientist,1,0,0,0,0,0
293,RL Data Scientist/Engineer,Intracom Telecom,"Пеания, Аттика, Греция",3 месяца назад,Работа в офисе,Греция,middle,data engineer,1,0,1,0,0,0
294,Chargé d'études statistiques F/H,Groupe Covéa,"Chauray, Нувель-Акитэн, Франция",3 недели назад,Работа в офисе,Франция,middle,unknown,1,0,1,0,0,0
295,Data Scientist & Power BI Developer (m/w/d),CYRES Consulting,Германия,1 неделю назад,Работа в офисе,Германия,middle,data scientist,1,0,0,1,0,0
296,Full Stack + JavaScript Data Services Developer,Luxoft,Испания,3 недели назад,Удаленная работа,Испания,middle,unknown,1,0,0,1,0,1
297,Full Stack + JavaScript Data Services Developer,Luxoft,Испания,4 дня назад,Удаленная работа,Испания,middle,unknown,1,0,0,1,0,1
298,Middle Full Stack + JavaScript Data Services Developer,Luxoft,Польша,1 неделю назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
299,Full Stack + JavaScript Data Services Developer,Luxoft Poland,Польша,1 неделю назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
300,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,5 дней назад,Удаленная работа,Польша,senior,unknown,1,0,0,1,0,1
301,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,1 неделю назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
302,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,1 неделю назад,Удаленная работа,Польша,senior,unknown,1,0,0,1,0,1
303,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,2 недели назад,Удаленная работа,Польша,senior,unknown,1,0,0,1,0,1
304,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,2 недели назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
305,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,2 недели назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
306,Data Engineer confirm (IT) / Freelance,Free-Work (ex Freelance-info Carriere-info),"La Défense, Иль-де-Франс, Франция",3 недели назад,Гибридный формат работы,Франция,middle,data engineer,1,0,1,0,0,0
307,Data Scientist  /Analyst Senior H/F,Crédit Agricole Charente-Maritime Deux-Sèvres,"Лагор, Нувель-Акитэн, Франция",3 недели назад,Работа в офисе,Франция,senior,data scientist,1,0,1,1,0,0
308,Full Stack + JavaScript Data Services Developer,Luxoft Poland,Польша,1 неделю назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
309,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,1 неделю назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
310,Ingénieure / Ingénieur Data Science H/F,EDF,"Saclay, Иль-де-Франс, Франция",4 недели назад,Работа в офисе,Франция,middle,data scientist,1,0,1,0,0,1
311,Stage: Ingénieur Data science - Smartcase H/F,CGI,Франция,1 неделю назад,Работа в офисе,Франция,middle,data scientist,1,0,0,0,0,0
312,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,1 неделю назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
313,Sr Data Scientist - Marketing Analytics,Homa,Франция,3 недели назад,Работа в офисе,Франция,middle,data scientist,1,0,1,1,0,0
314,Scientist* / Data Visualization Engineer* im Bereich Biomarker Analysen (DS&BA),BioNTech SE,"Майнц, Рейнланд-Пфальц, Германия",1 неделю назад,Работа в офисе,Германия,middle,data engineer,1,0,1,0,0,1
315,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,2 недели назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
316,Full Stack + JavaScript Data Services Developer,Luxoft Poland,Польша,3 недели назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
317,Developer / Data Scientist: User State / Emotion Recognition (m/w/d),ixp - institute of experimental psychophysiology,"Дюссельдорф, Северный Рейн-Вестфалия, Германия",5 дней назад,Работа в офисе,Германия,middle,data scientist,1,0,1,0,0,0
318,Python-Entwickler und Data Engineer (w/m/d) - remote möglich,EnBW,"Карлсруе, Баден-Вюртемберг, Германия",3 недели назад,Удаленная работа,Германия,middle,data engineer,1,0,1,1,0,0
319,Full Stack Engineer (JavaScript & Data Services),Luxoft,Испания,1 неделю назад,Удаленная работа,Испания,middle,data engineer,1,0,0,1,0,1
320,Data Analist/Scientist - Gent,Madison Recruitment (We're hiring 🚀),"Гент, Фландерс, Бельгия",1 месяц назад,Работа в офисе,Бельгия,middle,data scientist,1,0,1,0,0,1
321,Consultant(e) Data Scientist / Recherche Opérationnelle,Heka.ai,Франция,1 месяц назад,Работа в офисе,Франция,middle,data scientist,1,0,1,0,0,1
322,Full Stack + JavaScript Data Services Developer,Luxoft Poland,Польша,2 недели назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
323,Data Analyst / Data Scientist,SSE Airtricity,"Дублин, Графство Дублин, Ирландия",1 день назад,Гибридный формат работы,Ирландия,middle,data scientist,1,0,1,1,0,0
324,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,4 недели назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
325,Data Engineer y Data Scientist Azure,Rawson BPO,Испания,1 месяц назад,Работа в офисе,Испания,senior,data engineer,1,0,0,0,0,0
326,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,3 недели назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
327,Data Engineer and Scientist (m/w/d),Adecco,"Нюрнберг, Бавария, Германия",3 недели назад,Работа в офисе,Германия,middle,data engineer,1,0,1,1,0,0
328,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,3 недели назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
329,Data Science Developer,CGI,Польша,9 часов назад,Работа в офисе,Польша,middle,data scientist,1,0,1,0,0,0
330,EVF Integrated Manufacturing Solution Data Scientist / Analyst - All Gender,Sanofi,"Neuville-sur-Saône, Овернь-Рона-Альпы, Франция",1 месяц назад,Гибридный формат работы,Франция,middle,data scientist,1,0,1,1,0,0
331,Full Stack + JavaScript Data Services Developer,Luxoft Poland,Польша,4 недели назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
332,Transversal Risk Analyst / Data Scientist,BNP Paribas CIB,"Лисбоа, Лисбоа, Португалия",3 дня назад,Гибридный формат работы,Португалия,middle,data scientist,1,0,1,0,0,0
333,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,4 недели назад,Удаленная работа,Польша,senior,unknown,1,0,0,1,0,1
334,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,4 недели назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
335,Azure Data Platform Engineer,SJ Mobilita,"София, Sofia City, Болгария",16 часов назад,Работа в офисе,Болгария,senior,data engineer,1,0,0,0,0,0
336,Data Analyst / Scientist (m/w/d),"kl,company ag",Германия,1 неделю назад,Работа в офисе,Германия,middle,data scientist,1,0,1,1,0,0
337,GCP Data Engineer/Scientist,Vectr.Consulting,"Восточная Фландрия, Фландерс, Бельгия",4 недели назад,Работа в офисе,Бельгия,middle,data engineer,1,0,1,1,0,1
338,Full Stack + JavaScript Data Services Developer,Luxoft,Польша,4 недели назад,Удаленная работа,Польша,middle,unknown,1,0,0,1,0,1
339,Solution Engineer (Data & AI),LVMH,Франция,2 недели назад,Гибридный формат работы,Франция,middle,data engineer,1,0,0,0,0,0
340,Azure Data Engineer / Scientist (m/w/d),TIMETOACT GROUP,"Фюрт, Бавария, Германия",4 дня назад,Гибридный формат работы,Германия,middle,data engineer,1,0,1,1,0,0
341,Data/Software Engineer (Artificial Intelligence),Xcede,Германия,1 неделю назад,Удаленная работа,Германия,middle,data engineer,1,0,1,0,0,1
342,"Stage R&D – fin d’études / ingénieur – Data science – Rennes, France (H/F)",Astek,"Ренн, Бретань, Франция",1 месяц назад,Гибридный формат работы,Франция,middle,data scientist,1,0,0,0,0,0
343,Java/Kotlin Developer (Data Engineer),Lundegaard,"Прага, Прага, Чехия",4 недели назад,Работа в офисе,Чехия,senior,data engineer,1,0,0,0,0,1
344,Senior Statistician / Senior Data Scientist (M / W / D),IQVIA,"Дортмунд, Северный Рейн-Вестфалия, Германия",3 дня назад,Работа в офисе,Германия,senior,data scientist,1,0,1,1,0,0
345,Scientist Data Analysis Machine Learning (m/w/d),Bayer,"Монхайм-ам-Райн, Северный Рейн-Вестфалия, Германия",1 день назад,Работа в офисе,Германия,middle,data scientist,1,0,1,0,0,0
346,Lead Data Scientist Engineer,Sabre Corporation,"Краков, Малое польское воеводство, Польша",1 неделю назад,Удаленная работа,Польша,team lead,data engineer,1,0,1,1,0,1
347,Développeur Data Processing (H/F),CAPFI Groupe,Франция,2 часа назад,Работа в офисе,Франция,middle,unknown,1,0,0,0,0,1
348,"Stage R&D – fin d’études / ingénieur – Data science – Rennes, France (H/F)",Astek,"Ренн, Бретань, Франция",1 месяц назад,Гибридный формат работы,Франция,middle,data scientist,1,0,0,0,0,0
349,Data Scientist / Data Analyst,D1 Consulting,"Иль-де-Франс, Франция",1 месяц назад,Гибридный формат работы,Франция,middle,data scientist,1,0,1,1,0,0
350,Data Analyst/Scientist,Outspot,"Синт-Мартенс-Латем, Фландерс, Бельгия",1 день назад,Работа в офисе,Бельгия,middle,data scientist,1,0,1,0,0,0
351,"Stage R&D – fin d’études / ingénieur – Data science – Boulogne-Billancourt, France (H/F)",Astek,"Булонь-Бийанкур, Иль-де-Франс, Франция",1 месяц назад,Гибридный формат работы,Франция,middle,data scientist,1,0,0,0,0,0
352,Dátový analytik/analytička (Data Scientist),Allianz Slovensko,"Братислава, Братиславский край, Словакия",3 недели назад,Гибридный формат работы,Словакия,middle,data scientist,1,0,1,1,0,0
353,Senior Statistician / Senior Data Scientist (M / W / D),IQVIA,Германия,3 дня назад,Работа в офисе,Германия,senior,data scientist,1,0,1,1,0,0
354,"Data Scientist, Data Engineer - Datenqualität (m/w/d)- alanta health group Gesellschaft mit beschränkter Haftung",alanta health group Gesellschaft mit beschränkter Haftung,"Гамбург, Гамбург, Германия",1 неделю назад,Работа в офисе,Германия,junior,data engineer,1,0,0,1,0,1
355,Data Scientist - Business Intelligence Analytics (m/w/d)- FTI Touristik GmbH,FTI Touristik GmbH,Германия,1 месяц назад,Работа в офисе,Германия,middle,data scientist,1,0,0,0,0,0
356,Ingénieur Data Scientist expérimenté - F/H,CS GROUP,"Тулуза, Окситания, Франция",1 неделю назад,Работа в офисе,Франция,middle,data scientist,1,0,1,0,0,1
357,Ingénieur Data Scientist Expérimenté - F/H,CS GROUP,"Ле-Плесси-Робинсон, Иль-де-Франс, Франция",1 неделю назад,Работа в офисе,Франция,middle,data scientist,1,0,1,0,0,1
358,Data Engineer (MOL Campus Project),MOL Group,"Будапешт, Будапешт, Венгрия",3 недели назад,Гибридный формат работы,Венгрия,middle,data engineer,1,0,1,0,0,1
359,MANUFACTURING COMPUTER VISION & DATA SCIENCE ENGINEER,Profile Group,"Льеж, Валлония, Бельгия",8 часов назад,Работа в офисе,Бельгия,middle,unknown,1,0,1,1,0,1
360,R Entwickler für Webanwendungen im Data Science Umfeld (w/m/d),parcIT GmbH,"Кёльн, Северный Рейн-Вестфалия, Германия",4 дня назад,Работа в офисе,Германия,middle,data scientist,1,0,0,0,0,1
361,SEARCHtech | Ingeniero (a) de datos,Search Latinoamérica,"Сен-ле-Нобль, О-де-Франс, Франция",3 недели назад,Удаленная работа,Франция,junior,unknown,1,0,0,1,0,0
362,Senior Statistician / Senior Data Scientist (M / W / D),IQVIA,"Бонн, Северный Рейн-Вестфалия, Германия",3 дня назад,Работа в офисе,Германия,senior,data scientist,1,0,1,1,0,0
363,Software Engineer with focus on Data Science Solutions (m/w/d),Machine Learning Reply GmbH,Германия,4 дня назад,Удаленная работа,Германия,middle,data engineer,1,0,1,0,0,1
364,Consultant Confirmé Data Scientist / Data Analyst (H/F),EPSILON France,"Васкеаль, О-де-Франс, Франция",3 недели назад,Работа в офисе,Франция,middle,data scientist,1,0,1,0,0,0
365,Ingénieur Data Scientist expérimenté - F/H,CS GROUP,"Экс-ан-Прованс, Прованс-Альпы-Лазурный Берег, Франция",1 неделю назад,Работа в офисе,Франция,middle,data scientist,1,0,1,0,0,1
366,Junior Research Data Management Software Developer (0.8 - 1.0 FTE),Universiteit Utrecht,"Утрехт, Утрехт, Голландия",2 дня назад,Гибридный формат работы,Голландия,junior,unknown,1,0,1,1,0,0
367,Senior Statistician / Senior Data Scientist (M / W / D),IQVIA,Германия,3 дня назад,Работа в офисе,Германия,senior,data scientist,1,0,1,1,0,0
368,Software Engineer - Advanced Analytics and AI,Volvo Cars,"Гетеборг, Лен Вестра-Гёталанд, Швеция",1 месяц назад,Работа в офисе,Швеция,senior,data engineer,1,0,1,0,0,0
369,Senior Statistician / Senior Data Scientist (M / W / D),IQVIA,Германия,3 дня назад,Работа в офисе,Германия,senior,data scientist,1,0,1,1,0,0
370,Data Science Analyst (m/f/d) (Remote),Yelp,Германия,1 неделю назад,Удаленная работа,Германия,middle,data scientist,1,0,1,1,0,0
371,Python Developer (m/w/x) Data Cloud,Kölner Stadt-Anzeiger Medien,"Кёльн, Северный Рейн-Вестфалия, Германия",1 месяц назад,Гибридный формат работы,Германия,middle,unknown,1,0,1,1,0,0
372,Medical Data Science & Machine Learning Engineer,Limebit GmbH,Германия,1 неделю назад,Работа в офисе,Германия,middle,data engineer,1,0,1,0,0,0
373,Développeur Application Web/ Data engineer - H/F - Stage,BNP Paribas,Франция,3 недели назад,Работа в офисе,Франция,middle,data engineer,1,0,1,0,0,0
374,Data Engineer Java Spark F/H,Capgemini,"Исси-ле-Мулино, Иль-де-Франс, Франция",5 дней назад,Гибридный формат работы,Франция,middle,data engineer,1,0,1,0,0,1
375,Data Scientists / Analysts Juniors (H/F),Scalian,"Тулуза, Окситания, Франция",1 неделю назад,Гибридный формат работы,Франция,junior,data scientist,1,0,0,0,0,1
376,Full Stack Developer for Data Science in Athens,Accenture Greece,"Афины, Аттика, Греция",2 недели назад,Работа в офисе,Греция,middle,data scientist,1,0,1,1,0,1
377,Junior Research Data Management Software Developer (0.8 - 1.0 FTE),Universiteit Utrecht,"Утрехт, Утрехт, Голландия",1 день назад,Гибридный формат работы,Голландия,junior,unknown,1,0,1,1,0,0
378,"12 stages R&D – fin d’études / ingénieur – Ingénieur innovation Intelligence artificielle, science des données – Boulogne-Billancourt, France (H/F)",Astek,"Булонь-Бийанкур, Иль-де-Франс, Франция",1 месяц назад,Гибридный формат работы,Франция,middle,data scientist,1,0,0,0,0,0
379,Senior Software/Machine Learning Engineer (Data/NLP) (all genders!),Cobrainer,Германия,2 недели назад,Работа в офисе,Германия,senior,data engineer,1,0,1,0,0,0
380,Senior Statistician / Senior Data Scientist (M / W / D),IQVIA,"Мекленбург-Восточная Померания, Германия",3 дня назад,Работа в офисе,Германия,senior,data scientist,1,0,1,1,0,0
381,Java Developer (Fast Data Feeds),Michael Page,"Катовице, Силезия, Польша",1 месяц назад,Работа в офисе,Польша,middle,unknown,1,0,0,0,0,1
382,"Data Analyst / Decision Scientist, Vinted Go",Vinted,"Вильнюс, Вильнюсский уезд, Литва",3 дня назад,Гибридный формат работы,Литва,middle,data scientist,1,0,1,1,0,0
383,"Software Engineer, Data Platform (m/w/d) - Gigafactory Berlin-Brandenburg",Tesla,Германия,4 недели назад,Работа в офисе,Германия,middle,data engineer,1,0,1,0,0,1
384,"Data Science Solution Developer (m/w/d) - Datenbankentwicklung / BI, Ingenieur",Comma Soft AG,"Бонн, Северный Рейн-Вестфалия, Германия",3 месяца назад,Работа в офисе,Германия,senior,data scientist,1,0,0,1,0,0
385,Junior Research Engineer – AI & Industrial Data Analytics,Siemens,"Брашов, Брашов, Румыния",2 недели назад,Работа в офисе,Румыния,junior,data engineer,1,0,1,0,0,1
386,12408 - Ocean Biogeochemistry Modeller and Data Analyst (Post-doc or Junior Scientist),CMCC Foundation,"Болонья, Эмилия-Романья, Италия",1 день назад,Работа в офисе,Италия,junior,data scientist,1,0,1,0,0,0
