,vacancy_name,company_name,city,date,workplace_type,area,level,speciality,schedule,salary,python,sql,apache,java
137,Data Scientist/Data Engineer,Integro Consulting AB,"Гетеборг, Лен Вестра-Гёталанд, Швеция",3 недели назад,Работа в офисе,Швеция,senior,data engineer,1,0,1,1,0,0
138,"SENIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Лион, Овернь-Рона-Альпы, Франция",4 дня назад,Работа в офисе,Франция,junior,unknown,1,0,1,0,0,0
139,"SENIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Хельсинки, Уусимаа, Финляндия",4 дня назад,Работа в офисе,Финляндия,junior,unknown,1,0,1,0,0,0
140,Applied Intelligence Internship – Data Scientist & Machine Learning Engineer,Accenture the Netherlands,Голладния,1 неделю назад,Работа в офисе,Голладния,junior,data engineer,1,0,1,1,0,0
141,Data Scientist - Global Data Science & Analytics,Zeta Global,"Прага, Прага, Чехия",1 неделю назад,Работа в офисе,Чехия,middle,data scientist,1,0,1,1,0,0
142,Senior Data Scientist - Data Scientist & Advanced Analytics team EMEA,IQVIA,"Рим, Лацио, Италия",3 дня назад,Гибридный формат работы,Италия,senior,data scientist,1,0,1,0,0,0
143,"Lead Data Scientist/ Lead Machine Learning Engineer (Bangkok based, relocation provided)",Agoda,Франция,2 дня назад,Гибридный формат работы,Франция,team lead,data engineer,1,0,1,1,0,0
144,"Lead Data Scientist/ Lead Machine Learning Engineer (Bangkok based, relocation provided)",Agoda,"Дублин, Графство Дублин, Ирландия",2 дня назад,Гибридный формат работы,Ирландия,team lead,data engineer,1,0,1,1,0,0
145,Principal Data Scientist,TomTom,Испания,1 неделю назад,Гибридный формат работы,Испания,middle,data scientist,1,0,1,1,0,0
146,Rotational Program START IN Coatings - Data Scientist Industry 4.0 (m/f/d),BASF,"Мюнстер, Северный Рейн-Вестфалия, Германия",2 месяца назад,Работа в офисе,Германия,middle,data scientist,1,0,1,1,0,0
147,Data Scientist/Analyst,Lear Corporation,"Пльзень, Plzeň, Чехия",3 недели назад,Гибридный формат работы,Чехия,senior,data scientist,1,0,0,1,0,0
148,"Lead Data Scientist/ Lead Machine Learning Engineer (Bangkok based, relocation provided)",Agoda,Голладния,2 дня назад,Гибридный формат работы,Голладния,team lead,data engineer,1,0,1,1,0,0
149,Data Scientist / Deep Learning Engineer,"Solera, Inc.",Испания,2 дня назад,Удаленная работа,Испания,middle,data engineer,1,0,1,1,1,0
150,mehrere Referenten / Referentinnen als Data Scientist / Data Analyst / Data Engineer,Die Bundeskanzlerin,Германия,2 часа назад,Работа в офисе,Германия,middle,data engineer,1,0,0,0,0,0
151,Working student – ML/Cloud Engineer (m/f/d) in the area Data & Analytics,Fresenius Kabi,"Бад-Хомбург-фор-дер-Хёэ, Гессен, Германия",1 месяц назад,Гибридный формат работы,Германия,middle,data engineer,1,0,1,1,0,0
152,Data Scientist & Machine Learning Engineer,iSTORM - IT RECRUITMENT EXPERTS,"Ноне, Пьемонт, Италия",1 месяц назад,Гибридный формат работы,Италия,middle,data engineer,1,0,1,1,0,1
153,[STAGE] Assistant(e) Data Analyst / Data Scientist - H/F,Wunderman Thompson,Франция,1 день назад,Гибридный формат работы,Франция,middle,data scientist,1,0,1,1,0,0
154,Initiativbewerbung,INSIGHT Health GmbH,"Esch, Гессен, Германия",1 месяц назад,Работа в офисе,Германия,middle,unknown,1,0,0,0,0,0
155,Data Scientist/Engineer (w/m/d) in Teil-/Vollzeit,Alpha Neun GmbH & Co. KG,"Кёльн, Северный Рейн-Вестфалия, Германия",1 неделю назад,Работа в офисе,Германия,middle,data engineer,1,0,1,0,0,0
156,"SENIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Роттердам, Южная Голландия, Голландия",4 дня назад,Работа в офисе,Голландия,junior,unknown,1,0,1,0,0,0
157,Senior Data Scientist - Global Data Science & Analytics,Zeta Global,"Прага, Прага, Чехия",4 дня назад,Работа в офисе,Чехия,senior,data scientist,1,0,1,1,0,0
158,INGENIERO DE DATOS/ DATA SCIENTIST,Akka Technologies,Испания,1 день назад,Гибридный формат работы,Испания,middle,unknown,1,0,1,1,0,1
159,Stage - Data Scientist / ML Engineer H/F,Expleo Group,"Тулуза, Окситания, Франция",2 месяца назад,Работа в офисе,Франция,middle,data engineer,1,0,1,0,0,0
160,Lead Data Scientist,Product Madness 📱🎮,"Барселона, Каталония, Испания",2 недели назад,Работа в офисе,Испания,team lead,data scientist,1,0,1,1,0,0
161,Data Scientist / Engineer Skywise H/F,Airbus Protect,"Тулуза, Окситания, Франция",1 месяц назад,Работа в офисе,Франция,middle,data engineer,1,0,0,1,0,0
162,"Data Scientist III, Advanced Analytics",Egencia,"Курбевуа, Иль-де-Франс, Франция",2 недели назад,Работа в офисе,Франция,senior,data scientist,1,0,1,1,0,0
163,Data Engineer* / Data Scientist* Digitalisierung im Produktionsumfeld,EDAG Group,"Фульда, Гессен, Германия",1 месяц назад,Работа в офисе,Германия,middle,data engineer,1,0,0,1,0,0
164,"Computer Scientist, Data Scientist, or similar, Research Software Engineer (f/m/x)",German Aerospace Center (DLR),"Оберпфаффенхофен, Бавария, Германия",1 месяц назад,Работа в офисе,Германия,middle,data engineer,1,0,1,0,0,0
165,Data Analyst/Scientist (m/w/d) 38-Stunden-Woche,Amadeus FiRe,Германия,1 неделю назад,Работа в офисе,Германия,middle,data scientist,1,0,0,1,0,1
166,Senior Insights Data Scientist,ADP,"Барселона, Каталония, Испания",2 недели назад,Гибридный формат работы,Испания,senior,data scientist,1,0,1,1,0,1
167,Senior Data Scientist / Data Analyst - work only from Poland,Luxoft,Польша,4 дня назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
168,"SENIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Берген, Vestland, Норвегия",4 дня назад,Работа в офисе,Норвегия,junior,unknown,1,0,1,0,0,0
169,Expert Data Scientist/ Analyst (all genders),PowerCo SE,"Зальцгиттер, Нижняя Саксония, Германия",2 недели назад,Гибридный формат работы,Германия,middle,data scientist,1,0,1,1,0,0
170,Data Scientist Health Data Lab (w/m/d),GWQ ServicePlus AG,"Дюссельдорф, Северный Рейн-Вестфалия, Германия",1 неделю назад,Работа в офисе,Германия,middle,data scientist,1,0,1,1,0,0
171,"SENIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Краков, Малое польское воеводство, Польша",4 дня назад,Работа в офисе,Польша,junior,unknown,1,0,1,0,0,0
172,Praktikant/Flexikant (m/w/d) Data Scientist/Analyst,Deutsche Telekom,"Бонн, Северный Рейн-Вестфалия, Германия",2 недели назад,Работа в офисе,Германия,middle,data scientist,1,0,1,0,0,0
173,Internal Data Scientist - Copenhagen,Nigel Frank International,"Копенгаген, Капитал, Дания",1 неделю назад,Работа в офисе,Дания,senior,data scientist,1,0,1,0,0,1
174,Data Scientist - Remote within Spain,Mad Collective,"Барселона, Каталония, Испания",3 недели назад,Работа в офисе,Испания,middle,data scientist,1,0,1,1,0,0
175,Data Scientist / Deep Learning Engineer,"Solera, Inc.",Испания,1 неделю назад,Удаленная работа,Испания,middle,data engineer,1,0,1,0,0,0
176,Senior Data Scientist (f/m/x),niologic GmbH,"Хюрт, Северный Рейн-Вестфалия, Германия",5 дней назад,Удаленная работа,Германия,senior,data scientist,1,0,1,0,0,1
177,Data Scientist/Engineer,Workday,"Прага, Прага, Чехия",1 неделю назад,Гибридный формат работы,Чехия,middle,data engineer,1,0,1,0,0,0
178,Data scientists & AI/ML Engineers,Vectr.Consulting,"Brussel-Antwerpse Steenweg, Брюссель, Бельгия",3 недели назад,Работа в офисе,Бельгия,middle,data engineer,1,0,1,0,0,0
179,Stage Ingénieur data scientist AIX EN PROVENCE H/F,Capgemini,"Экс-ан-Прованс, Прованс-Альпы-Лазурный Берег, Франция",6 дней назад,Работа в офисе,Франция,middle,data scientist,1,0,1,0,0,0
180,"Senior Data Scientist / Data Analyst, Remote Poland",Luxoft,Польша,5 дней назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
181,Data Scientist/Engineer,DeepSign GmbH,"Саарбрюккен, Саар, Германия",1 неделю назад,Удаленная работа,Германия,middle,data engineer,1,0,1,0,0,0
182,"DATA SCIENTIST / DATA ENGINEER, Secteur aéronautique",ALTEN,"Тулуза, Окситания, Франция",1 день назад,Работа в офисе,Франция,middle,unknown,1,0,1,1,0,1
183,Initiativbewerbung,,"Гамбург, Гамбург, Германия",1 месяц назад,Работа в офисе,Германия,middle,unknown,1,0,0,0,0,0
184,Data Engineer/ Data scientist (H/F) - CDI - Paris,AXA en France,"Пюто, Иль-де-Франс, Франция",1 месяц назад,Работа в офисе,Франция,middle,data engineer,1,0,1,1,0,0
185,Freelance Data scientist - Regio Brussel,Madison Recruitment (We're hiring 🚀),"Брюссель, Брюссель, Бельгия",3 недели назад,Гибридный формат работы,Бельгия,middle,data scientist,1,0,1,1,0,0
186,Datenanalyst / Data Scientist (m/w/d) - Remote möglich,Modis,"Ханау, Гессен, Германия",3 дня назад,Удаленная работа,Германия,middle,data scientist,1,0,1,0,0,0
187,Manufacturing Computer Vision & Data Science Engineer,Safran,"Эрсталь, Валлония, Бельгия",1 день назад,Работа в офисе,Бельгия,middle,data engineer,1,0,1,1,0,1
188,Senior Data Scientist w/ Fluent level of English,Babel Profiles,"Барселона, Каталония, Испания",1 неделю назад,Работа в офисе,Испания,senior,data scientist,1,0,1,1,0,0
189,Data Engineer/Scientist,Nationale-Nederlanden,"Гаага, Южная Голландия, Голландия",1 месяц назад,Гибридный формат работы,Голландия,middle,data engineer,1,0,1,1,0,0
190,"SENIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Орхус, Центральная Ютландия, Дания",4 дня назад,Работа в офисе,Дания,junior,unknown,1,0,1,0,0,0
191,Senior Data Scientist / Data Analyst- Remote Poland or Hybrid in Warsaw,Luxoft,Польша,5 дней назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
192,Geospatial Data Engineer / Scientist (f/m/x),Buro Happold,Германия,2 дня назад,Гибридный формат работы,Германия,middle,data engineer,1,0,1,1,0,1
193,Wavemaker I Junior Analyst / Junior Data Scientist,Wavemaker,Польша,5 часов назад,Гибридный формат работы,Польша,junior,data scientist,1,0,1,1,0,0
194,Geospatial Data Engineer / Scientist (f/m/x),Buro Happold,"Гамбург, Гамбург, Германия",2 дня назад,Гибридный формат работы,Германия,middle,data engineer,1,0,1,1,0,1
195,Senior Data Scientist / Data Analyst,Luxoft,Польша,4 дня назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
196,Senior Data Scientist / Data Analyst,Luxoft,Польша,3 дня назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
197,DATA ANALYST | DATA SCIENTIST | BI DATA ANALYST,Techyon,"Милан, Ломбардия, Италия",1 месяц назад,Работа в офисе,Италия,senior,unknown,1,0,0,1,0,0
198,Senior/Lead Data Scientist (ideally Energy Sector),Michael Page,Испания,1 месяц назад,Работа в офисе,Испания,team lead,data scientist,1,0,1,0,0,0
199,Alternance BAC+4/5 - Data scientist - Analyst - Engineer- (H/F),Volvo Group,"Лион, Овернь-Рона-Альпы, Франция",1 неделю назад,Работа в офисе,Франция,middle,data engineer,1,0,1,0,0,0
200,Data Engineer JAVA/GCP (IT) / Freelance,Société Free-Work,"О-де-Сен, Иль-де-Франс, Франция",2 недели назад,Удаленная работа,Франция,middle,data engineer,1,0,1,0,0,1
201,Senior Data Scientist / Data Analyst,Luxoft,Польша,5 дней назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
202,"Datenvisualisierer:in - Tableau, PowerBI",Deutsche Bahn,Германия,1 неделю назад,Гибридный формат работы,Германия,middle,unknown,1,0,0,0,0,0
203,"Summer Trainee, Data Science People Flow Analytics",KONE,"Эспоо, Уусимаа, Финляндия",3 дня назад,Гибридный формат работы,Финляндия,middle,data scientist,1,0,1,1,0,0
204,Senior Data Scientist / Data Analyst,Luxoft,Польша,3 дня назад,Удаленная работа,Польша,senior,data scientist,1,0,1,1,0,0
205,"Research Engineer, Machine Learning (ML) & Data Processing",Intracom Telecom,"Пеания, Аттика, Греция",4 недели назад,Работа в офисе,Греция,middle,data engineer,1,0,1,1,0,1
206,"Data scientist Consultant in Evere ( Power BI , SQL, EN , )",Select HR,"Брюссель, Брюссель, Бельгия",1 месяц назад,Работа в офисе,Бельгия,middle,data scientist,1,0,1,1,0,0
207,Chargé d'Etudes Actuarielles Confirmé-Data Scientist -Portfolio Analytics H/F,Allianz France,Франция,3 недели назад,Работа в офисе,Франция,middle,data scientist,1,0,0,0,0,0
208,(Junior/Senior) Data Scientist / Strategy Analyst,PA Consulting,"Утрехт, Утрехт, Голландия",1 неделю назад,Работа в офисе,Голландия,junior,data scientist,1,0,1,1,0,1
209,Business Intelligence Specialist (data scientist),Experian,"Гранада, Андалусия, Испания",4 дня назад,Гибридный формат работы,Испания,junior,data scientist,1,0,1,0,0,0
210,DHBW Duales Studium - Wirtschaftsinformatik (Data Science) M/W/D,Autohaus Reisacher GmbH,Германия,1 месяц назад,Работа в офисе,Германия,middle,data scientist,1,0,1,0,0,0
211,Data Science Analyst,BNP Paribas CIB,"Лисбоа, Лисбоа, Португалия",2 недели назад,Гибридный формат работы,Португалия,middle,data scientist,1,0,1,0,0,0
